store_name,date,type,floor,enter_cnt,exit_cnt,enter_rate,watcher_cnt,female,ageless16,age17to30,age31to45,age46to60,bodyfat,bodynormal,bodythin,customer,employee,hs_baldhead,hs_hat,hs_glasses
NIO,2021-02-02,kids & babies,L1,491,452,0.024736763,249,0.533404,0.11877,0.283139,0.567338,0.0307529,0.0424178,0.886532,0.0710498,0.99894,0.00106045,0.00318134,0.0625663,0.0424178
EVISUKURO,2021-02-01,fashions,L1,181,148,0.019066681,1466,0.452888,0.0942249,0.474164,0.392097,0.0395137,0.0303951,0.966565,0.00303951,1,0,0,0.0395137,0.00303951
TOMMY HILFIGER,2021-02-01,facilities,L1,68,72,0.020769701,463,0.571429,0.0642857,0.55,0.357143,0.0285714,0.05,0.864286,0.0857143,1,0,0,0.0785714,0.0785714
KT World,2021-02-06,fashions,B1,753,521,0.023220673,3193,0.304553,0.0274725,0.364207,0.569074,0.0392465,0.0313972,0.958399,0.0102041,1,0,0.00156986,0.0149137,0.0196232
KT World,2021-02-12,fashions,B1,1126,764,0.029064065,3911,0.36455,0.0253968,0.304233,0.625926,0.0444444,0.0280423,0.96455,0.00740741,1,0,0.0021164,0.0206349,0.0132275
ARIOSE years,2021-02-02,accessories,L2,104,49,0.030723781,261,0.555556,0.0130719,0.568627,0.411765,0.00653595,0.0326797,0.954248,0.0130719,1,0,0,0.0457516,0.0392157
Asics,2021-02-01,accessories,L4,98,97,0.043478261,119,0.553846,0.0153846,0.348718,0.6,0.0358974,0.0205128,0.964103,0.0153846,1,0,0,0.138462,0.117949
ARIOSE years,2021-02-11,accessories,L2,141,86,0.045601552,224,0.603524,0.00881057,0.559471,0.414097,0.0176211,0.030837,0.938326,0.030837,1,0,0,0.0396476,0.0792952
City Garden,2021-02-12,kids & babies,L5,30,12,0.003179313,32,0.428571,0.0714286,0.428571,0.452381,0.047619,0,1,0,0.976191,0.0238095,0,0.0238095,0
FILA FUSION,2021-02-01,fashions,B1,295,240,0.022589785,613,0.553271,0.00186916,0.51028,0.439252,0.0485981,0.0224299,0.970093,0.00747663,1,0,0,0.0598131,0.0654206
NanluoFeiMao,2021-02-09,kids & babies,L5,575,468,0.076974565,1010,0.286673,0.118888,0.233941,0.601151,0.0460211,0.00958773,0.967402,0.0230105,0.998082,0.00191755,0,0.0162991,0.021093
KKV,2021-02-02,fashions,B2,304,1414,0.023863726,1141,0.573341,0.0139697,0.282887,0.669383,0.0337602,0.0151339,0.978463,0.00640279,0.993597,0.00640279,0,0.0442375,0.0221187
Cici Beauty,2021-02-17,fashions,B2,5,3,0.000139233,1073,0.375,0,0.25,0.75,0,0,1,0,1,0,0,0,0
NIO,2021-02-03,kids & babies,L1,379,355,0.018944317,214,0.429155,0.133515,0.27248,0.570845,0.0231608,0.0258856,0.918256,0.0558583,1,0,0.0013624,0.0490463,0.0326975
gb,2021-02-02,fashions,L3,112,130,0.01267255,452,0.421488,0.132231,0.293388,0.520661,0.053719,0.00413223,0.900826,0.0950413,0.987603,0.0123967,0,0.0330579,0.00826446
HairCode,2021-02-16,fashions,B1,235,205,0.005270358,0,0.475,0.0113636,0.222727,0.520455,0.245455,0.00227273,0.993182,0.00454546,0.890909,0.109091,0,0.0772727,0
ARIOSE years,2021-02-03,accessories,L2,103,58,0.029640288,261,0.627329,0.0124224,0.515528,0.428571,0.0434783,0.0248447,0.956522,0.0186335,1,0,0,0.0745342,0.0807453
TOMMY HILFIGER,2021-02-02,facilities,L1,63,72,0.017671809,485,0.622222,0.0740741,0.414815,0.496296,0.0148148,0.0518519,0.888889,0.0592593,1,0,0,0.118519,0.0740741
NIO,2021-02-14,kids & babies,L1,2375,2073,0.036544646,2034,0.491232,0.139389,0.268885,0.525854,0.0658723,0.0328237,0.919065,0.0481115,0.999775,0.00022482,0.0011241,0.0393435,0.0168615
HairCode,2021-02-14,fashions,B1,261,232,0.004712808,0,0.509128,0.0162272,0.223124,0.498986,0.261663,0.0121704,0.975659,0.0121704,0.926978,0.0730223,0,0.0649087,0
KT World,2021-02-07,fashions,B1,578,392,0.024198275,2453,0.340206,0.0360825,0.395876,0.53299,0.0350515,0.0515464,0.934021,0.014433,1,0,0.00103093,0.0247423,0.0206186
EVISUKURO,2021-02-02,fashions,L1,203,172,0.0203,1700,0.496,0.04,0.509333,0.405333,0.0453333,0.0133333,0.981333,0.00533333,0.997333,0.00266667,0,0.0426667,0.0106667
OSIM,2021-02-09,consumer electronics,L4,183,146,0.027773562,622,0.741641,0.0607903,0.227964,0.641337,0.0699088,0.0243161,0.93617,0.0395137,1,0,0.00303951,0.0212766,0.0364742
Asics,2021-02-02,accessories,L4,135,126,0.048145506,224,0.295019,0.0191571,0.390805,0.563218,0.0268199,0.0191571,0.942529,0.0383142,1,0,0,0.0689655,0.0957854
City Garden,2021-02-17,kids & babies,L5,22,19,0.001309368,50,0.560976,0,0.585366,0.243902,0.170732,0,1,0,1,0,0,0.121951,0
Miniso,2021-02-01,kids & babies,B1,969,1213,0.076510067,1354,0.77956,0.0614115,0.536664,0.367094,0.0348304,0.00229148,0.976627,0.0210816,0.999083,0.00091659,0,0.0183318,0.00504125
HUAWEI,2021-02-04,kids & babies,B2,537,565,0.043226274,1466,0.449183,0.0154265,0.498185,0.451906,0.0344828,0.0989111,0.881125,0.0199637,1,0,0,0.119782,0.0998185
ShiningHouse,2021-02-10,jewelry,L1,101,97,0.00937181,216,0.449495,0.0454545,0.60101,0.292929,0.0606061,0.040404,0.863636,0.0959596,0.994949,0.00505051,0,0.0252525,0.030303
NIO,2021-02-04,kids & babies,L1,429,420,0.019070057,286,0.4947,0.137809,0.292108,0.55477,0.0153121,0.0471143,0.865724,0.0871614,0.998822,0.00117786,0,0.0482921,0.0388693
ARIOSE years,2021-02-12,accessories,L2,354,170,0.038995373,803,0.538168,0.0152672,0.60687,0.354962,0.0229008,0.0534351,0.923664,0.0229008,0.996183,0.00381679,0.0019084,0.0477099,0.0801527
KKV,2021-02-03,fashions,B2,309,1373,0.023872064,1216,0.598098,0.0148633,0.278835,0.661118,0.0451843,0.0184304,0.978597,0.00297265,0.994649,0.00535077,0,0.0445898,0.020214
FILA FUSION,2021-02-02,fashions,B1,283,254,0.01917604,779,0.597765,0.00372439,0.489758,0.452514,0.0540037,0.018622,0.977654,0.00372439,1,0,0.00372439,0.0744879,0.0428305
ARIOSE years,2021-02-04,accessories,L2,155,106,0.039866255,288,0.613027,0.0114943,0.547893,0.40613,0.0344828,0.0498084,0.931035,0.0191571,0.996168,0.00383142,0,0.045977,0.0651341
AIMERKIDS,2021-02-01,kids & babies,L3,69,62,0.024775583,73,0.541985,0.10687,0.282443,0.519084,0.0916031,0.00763359,0.961832,0.0305344,1,0,0,0.00763359,0
RE-BLUE,2021-02-01,fashions,L2,127,88,0.040888603,179,0.786047,0.0651163,0.427907,0.423256,0.0837209,0.0465116,0.893023,0.0604651,1,0,0,0.0790698,0.0139535
Pandora,2021-02-10,fashions,L1,332,292,0.092222222,206,0.746795,0.0448718,0.580128,0.354167,0.0208333,0.0288462,0.913462,0.0576923,1,0,0.00320513,0.0352564,0.0240385
TOMMY HILFIGER,2021-02-03,facilities,L1,79,85,0.021926173,481,0.542683,0.0670732,0.518293,0.390244,0.0243902,0.054878,0.853659,0.0914634,1,0,0,0.0853659,0.115854
gb,2021-02-03,fashions,L3,120,111,0.012013215,422,0.445887,0.0995671,0.30303,0.519481,0.0779221,0.017316,0.935065,0.047619,0.987013,0.012987,0.00865801,0.025974,0.017316
EVISUKURO,2021-02-03,fashions,L1,191,169,0.018834434,1459,0.436111,0.0444444,0.497222,0.408333,0.05,0.0194444,0.969444,0.0111111,0.997222,0.00277778,0,0.0388889,0.0166667
CAIBAI Jewelry,2021-02-01,consumer electronics,L1,226,220,0.052387575,36,0.53139,0.0313901,0.455157,0.479821,0.0336323,0.0246637,0.941704,0.0336323,0.991031,0.00896861,0,0.0313901,0.0269058
City Garden,2021-02-13,kids & babies,L5,33,22,0.002188764,47,0.472727,0.0363636,0.4,0.436364,0.127273,0.0363636,0.945455,0.0181818,1,0,0,0.0363636,0
PERFECT DIARY,2021-02-14,kids & babies,B1,7878,6036,0.045640461,5316,0.687078,0.0425471,0.52192,0.348713,0.086819,0.0251545,0.950697,0.0241483,0.998131,0.00186862,0.0007187,0.0425471,0.0227109
TOMMY HILFIGER,2021-02-18,facilities,L1,85,130,0.015890821,712,0.502326,0.0232558,0.451163,0.502326,0.0232558,0.0465116,0.902326,0.0511628,0.990698,0.00930232,0.00465116,0.0837209,0.0604651
