store_name,date,type,floor,enter_number,enter_rate,female_number,female_rate,male_number,male_rate,teenager_number,teenager_rate,youth_number,youth_rate,middle-aged_number,middle-aged_rate,senior_number,senior_rate,dropdown
Coolzone,2021-02-17,kids_babies,L3,51,1,25,49,26,51,4,8,10,41,24 ,47,0,4,
Coolzone,2021-02-18,kids_babies,L3,48,2,18,38,30,62,10,20,8,44,16 ,34,0,3,
Coolzone,2021-02-19,kids_babies,L3,86,3,43,50,43,50,6,7,18,42,39 ,45,1,6,
Coolzone,2021-02-20,kids_babies,L3,70,2,24,35,46,65,7,10,13,54,22 ,31,1,5,
Coolzone,2021-02-21,kids_babies,L3,111,3,43,39,68,61,15,14,21,48,37 ,33,1,5,
Coolzone,2021-02-22,kids_babies,L3,76,3,36,47,40,53,4,5,19,53,29 ,38,1,4,
Coolzone,2021-02-23,kids_babies,L3,133,4,49,37,84,63,12,9,24,49,49 ,37,1,6,
Coolzone,2021-02-24,kids_babies,L3,78,3,41,53,37,47,8,11,17,40,36 ,46,0,3,
Coolzone,2021-02-25,kids_babies,L3,77,3,30,39,47,61,7,9,13,42,34 ,44,1,5,
Coolzone,2021-02-26,kids_babies,L3,147,4,56,38,91,62,18,13,20,37,68 ,46,1,5,
Coolzone,2021-02-27,kids_babies,L3,221,5,79,36,142,64,21,10,36,45,88 ,40,2,5,
Coolzone,2021-02-28,kids_babies,L3,266,5,127,48,139,52,26,10,51,40,120 ,45,3,6,
gb,2021-02-01,fashions,L3,107,1,46,43,61,57,10,10,12,26,63 ,59,1,6,
gb,2021-02-02,fashions,L3,112,1,47,42,65,58,15,13,14,29,58 ,52,1,5,
gb,2021-02-03,fashions,L3,120,1,54,45,66,55,12,10,16,30,62 ,52,1,8,
gb,2021-02-04,fashions,L3,129,1,64,49,65,51,15,11,16,25,74 ,57,1,7,
gb,2021-02-05,fashions,L3,169,2,72,43,97,57,28,17,21,29,79 ,47,1,7,
gb,2021-02-06,fashions,L3,266,1,135,51,131,49,39,15,35,26,125 ,47,4,12,
gb,2021-02-07,fashions,L3,231,2,105,45,126,55,35,15,23,22,129 ,56,2,7,
gb,2021-02-08,fashions,L3,157,1,86,55,71,45,18,11,25,29,82 ,52,2,7,
gb,2021-02-09,fashions,L3,206,1,113,55,93,45,26,12,36,32,103 ,50,2,6,
gb,2021-02-10,fashions,L3,179,1,100,56,79,44,20,11,24,24,102 ,57,2,8,
gb,2021-02-11,fashions,L3,60,1,34,57,26,43,4,7,8,23,37 ,62,1,8,
gb,2021-02-12,fashions,L3,290,1,164,56,126,44,30,10,41,25,160 ,55,4,10,
gb,2021-02-13,fashions,L3,351,1,207,59,144,41,45,13,47,23,190 ,54,5,11,
gb,2021-02-14,fashions,L3,443,1,264,60,179,40,55,12,64,24,230 ,52,7,11,
gb,2021-02-15,fashions,L3,393,1,221,56,172,44,46,12,54,24,216 ,55,5,9,
gb,2021-02-16,fashions,L3,475,2,272,57,203,43,42,9,78,29,247 ,52,8,10,
gb,2021-02-17,fashions,L3,426,1,234,55,192,45,41,10,70,30,234 ,55,4,5,
gb,2021-02-18,fashions,L3,232,2,130,56,102,44,21,9,34,26,139 ,60,2,5,
gb,2021-02-19,fashions,L3,242,2,121,50,121,50,23,10,34,28,136 ,56,2,7,
gb,2021-02-20,fashions,L3,405,2,213,53,192,47,32,8,65,31,223 ,55,4,7,
gb,2021-02-21,fashions,L3,323,2,163,50,160,50,41,13,53,32,158 ,49,3,6,
gb,2021-02-22,fashions,L3,291,3,159,55,132,45,21,7,58,37,151 ,52,3,5,
gb,2021-02-23,fashions,L3,219,2,110,50,109,50,25,11,34,31,110 ,50,2,7,
gb,2021-02-24,fashions,L3,187,2,95,51,92,49,23,12,34,36,84 ,45,2,7,
gb,2021-02-25,fashions,L3,321,3,170,53,151,47,28,9,54,32,173 ,54,3,6,
gb,2021-02-26,fashions,L3,281,2,144,51,137,49,22,8,43,30,155 ,55,3,7,
gb,2021-02-27,fashions,L3,672,2,350,52,322,48,62,9,96,27,370 ,55,8,9,
gb,2021-02-28,fashions,L3,666,2,346,52,320,48,58,9,100,29,353 ,53,9,9,
GOFIDisney,2021-02-01,fashions,L3,90,2,46,52,44,48,8,9,22,48,34 ,38,1,5,
GOFIDisney,2021-02-02,fashions,L3,95,2,53,55,42,45,6,6,21,41,45 ,47,1,6,
GOFIDisney,2021-02-03,fashions,L3,90,2,54,59,36,41,6,7,22,41,36 ,40,3,12,
GOFIDisney,2021-02-04,fashions,L3,100,2,51,51,49,49,9,9,22,43,43 ,43,1,6,
GOFIDisney,2021-02-05,fashions,L3,162,3,98,61,64,39,17,11,45,46,58 ,36,3,7,
GOFIDisney,2021-02-06,fashions,L3,296,3,160,54,136,46,28,10,78,49,104 ,35,6,7,
GOFIDisney,2021-02-07,fashions,L3,195,3,113,58,82,42,14,7,57,50,64 ,33,5,9,
GOFIDisney,2021-02-08,fashions,L3,187,3,100,53,87,47,13,7,44,44,73 ,39,5,10,
GOFIDisney,2021-02-09,fashions,L3,278,3,146,53,132,47,22,8,75,51,97 ,35,4,5,
GOFIDisney,2021-02-10,fashions,L3,308,3,172,56,136,44,23,8,86,50,105 ,34,8,9,
GOFIDisney,2021-02-11,fashions,L3,182,4,89,49,93,51,18,10,44,49,64 ,35,2,6,
GOFIDisney,2021-02-12,fashions,L3,286,3,167,58,119,42,22,8,82,49,100 ,35,7,9,
GOFIDisney,2021-02-13,fashions,L3,361,4,196,54,165,46,37,10,83,42,134 ,37,9,10,
GOFIDisney,2021-02-14,fashions,L3,429,4,219,51,210,49,28,7,93,42,172 ,40,10,11,
GOFIDisney,2021-02-15,fashions,L3,382,4,218,57,164,43,28,7,97,44,153 ,40,8,8,
GOFIDisney,2021-02-16,fashions,L3,320,3,171,54,149,46,27,9,72,42,131 ,41,6,8,
GOFIDisney,2021-02-17,fashions,L3,299,3,164,55,135,45,21,7,80,49,105 ,35,8,10,
GOFIDisney,2021-02-18,fashions,L3,154,3,82,53,72,47,15,10,39,47,54 ,35,3,8,
GOFIDisney,2021-02-19,fashions,L3,136,2,71,52,65,48,12,9,33,47,48 ,35,3,9,
GOFIDisney,2021-02-20,fashions,L3,131,2,75,57,56,43,14,11,32,43,48 ,37,3,10,
GOFIDisney,2021-02-21,fashions,L3,168,2,87,52,81,48,21,12,44,51,54 ,32,2,5,
GOFIDisney,2021-02-22,fashions,L3,111,2,70,63,41,37,9,8,36,52,33 ,30,4,10,
GOFIDisney,2021-02-23,fashions,L3,145,3,90,62,55,38,19,13,44,49,48 ,33,2,5,
GOFIDisney,2021-02-24,fashions,L3,143,2,80,56,63,44,14,10,38,48,57 ,40,1,3,
GOFIDisney,2021-02-25,fashions,L3,129,2,76,59,53,41,17,13,36,48,39 ,30,3,9,
